レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-04唐　津トータリゼータエンジニアリング杯1R,110,110,200,230,170,130,540,1320,2750,1560
2020-08-04唐　津トータリゼータエンジニアリング杯2R,120,120,410,890,830,270,470,860,4230,3050
2020-08-04唐　津トータリゼータエンジニアリング杯3R,110,100,160,210,220,110,130,190,480,190
2020-08-04唐　津トータリゼータエンジニアリング杯4R,180,160,200,1090,820,180,110,200,1530,250
2020-08-04唐　津トータリゼータエンジニアリング杯5R,460,260,300,1410,770,250,300,250,3330,980
2020-08-04唐　津トータリゼータエンジニアリング杯6R,210,110,100,270,190,150,150,160,760,260
2020-08-04唐　津トータリゼータエンジニアリング杯7R,470,130,100,1310,240,150,350,170,5310,490
2020-08-04唐　津トータリゼータエンジニアリング杯8R,250,230,190,1070,860,280,880,520,4720,1810
2020-08-04唐　津トータリゼータエンジニアリング杯9R,710,260,740,4260,5690,760,180,250,15430,820
2020-08-04唐　津トータリゼータエンジニアリング杯10R,670,190,100,2380,460,180,300,140,10490,370
2020-08-04唐　津トータリゼータエンジニアリング杯11R,260,1090,730,960,540,240,290,260,2940,1300
2020-08-04唐　津トータリゼータエンジニアリング杯12R,120,100,350,290,330,170,140,280,570,270
2020-08-04福　岡東スタンドリニューアル記念レース1R,100,100,150,490,540,180,390,640,2330,1040
2020-08-04福　岡東スタンドリニューアル記念レース2R,300,120,140,540,320,130,110,140,1150,270
2020-08-04福　岡東スタンドリニューアル記念レース3R,770,390,150,920,500,160,330,380,2660,870
2020-08-04福　岡東スタンドリニューアル記念レース4R,560,170,100,750,220,140,310,290,2100,620
2020-08-04福　岡東スタンドリニューアル記念レース5R,380,160,150,460,240,180,620,390,2990,920
2020-08-04福　岡東スタンドリニューアル記念レース6R,260,100,100,1050,620,200,300,410,3210,1290
2020-08-04福　岡東スタンドリニューアル記念レース7R,150,100,110,530,450,150,180,350,960,370
2020-08-04福　岡東スタンドリニューアル記念レース8R,100,100,240,350,330,270,270,420,1300,830
2020-08-04福　岡東スタンドリニューアル記念レース9R,100,100,100,140,170,110,250,190,1290,850
2020-08-04福　岡東スタンドリニューアル記念レース10R,100,100,110,250,470,130,110,150,790,200
2020-08-04福　岡東スタンドリニューアル記念レース11R,150,100,350,410,330,100,100,170,650,210
2020-08-04福　岡東スタンドリニューアル記念レース12R,120,100,170,270,140,160,440,490,1370,820
2020-08-04下　関Ｇ３長府製作所杯1R,230,140,100,810,210,140,400,290,2110,650
2020-08-04下　関Ｇ３長府製作所杯2R,120,130,150,220,360,130,230,240,1120,590
