,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,長崎新聞社杯1,1,5048,7.01,5,眞鳥康太,26,長崎,55,B1,2.62,7.87,2.73,3.92,23.08,43.48
1,長崎新聞社杯1,2,3843,7.01,1,上之晃弘,44,長崎,52,B1,4.1,23.46,5.95,42.76,0.0,38.71
2,長崎新聞社杯1,3,4919,6.99,6,吉田翔悟,29,長崎,52,B1,4.42,26.51,3.86,15.32,12.0,41.18
3,長崎新聞社杯1,4,4747,7.01,2,山戸信二,35,長崎,51,B1,3.65,14.12,4.35,21.26,12.5,25.0
4,長崎新聞社杯1,5,3936,7.05,3,三瀬　譲,42,長崎,56,B1,4.36,22.73,4.95,29.6,29.17,17.39
5,長崎新聞社杯1,6,4164,7.01,4,岩永節也,38,長崎,52,B1,4.13,19.28,4.56,20.97,28.57,15.38
6,長崎新聞社杯2,1,4315,6.96,2,山崎昂介,36,長崎,54,B1,4.39,25.29,4.73,23.36,28.57,42.11
7,長崎新聞社杯2,2,4213,7.04,1,重富伸也,36,長崎,54,B1,4.37,25.0,5.04,30.85,35.71,25.0
8,長崎新聞社杯2,3,3906,6.96,3,飯山晃三,42,長崎,59,B1,4.82,27.03,5.6,38.96,38.46,10.53
9,長崎新聞社杯2,4,3527,7.03,5,中嶋誠一,49,長崎,50,A2,6.1,39.29,6.43,48.36,26.47,40.48
10,長崎新聞社杯2,5,4248,7.04,4,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
11,長崎新聞社杯2,6,5071,7.04,6,野見山拓,26,福岡,51,B2,2.02,5.88,1.61,0.0,40.0,20.69
12,長崎新聞社杯3,1,4193,6.94,2,郷原章平,38,福岡,53,A1,6.47,52.94,6.17,55.56,53.85,69.57
13,長崎新聞社杯3,2,4299,7.01,1,中島浩哉,37,長崎,58,B1,4.53,24.21,5.24,35.09,20.83,33.33
14,長崎新聞社杯3,3,4004,7.0,3,山本浩輔,42,長崎,52,B1,4.09,23.08,5.54,38.41,25.0,48.48
15,長崎新聞社杯3,4,4241,7.06,5,大串重幸,35,長崎,52,B1,4.85,32.95,5.53,38.57,22.22,26.47
16,長崎新聞社杯3,5,4715,7.02,6,村上　遼,28,長崎,51,A2,6.46,45.56,6.29,47.13,20.83,30.3
17,長崎新聞社杯3,6,5009,7.09,4,大賀龍之,23,福岡,56,B1,3.77,14.89,1.4,0.0,9.52,13.64
18,長崎新聞社杯4,1,3777,6.95,1,樋口　亮,45,長崎,51,B1,5.64,40.0,6.27,47.48,33.33,25.93
19,長崎新聞社杯4,2,4171,7.0,2,榎　幸司,37,長崎,51,A2,6.65,51.18,7.12,57.21,27.78,28.57
20,長崎新聞社杯4,3,4352,7.0,6,下條雄太,34,長崎,52,A1,7.06,55.45,7.4,57.14,37.84,35.29
21,長崎新聞社杯4,4,4948,6.97,3,木場悠介,27,長崎,52,B1,4.73,30.91,4.23,18.03,59.26,41.18
22,長崎新聞社杯4,5,3491,7.02,5,富永　茂,52,福岡,51,B1,4.09,15.31,3.93,15.22,5.56,56.25
23,長崎新聞社杯4,6,3670,7.01,4,古澤信二,48,福岡,56,B1,4.78,28.81,5.05,30.23,17.24,34.48
24,長崎新聞社杯5,1,4603,6.98,1,谷川将太,32,長崎,53,B1,4.56,27.42,4.94,28.46,40.74,47.62
25,長崎新聞社杯5,2,4259,7.0,2,真庭明志,36,長崎,52,A2,5.83,41.98,5.92,42.04,22.22,39.13
26,長崎新聞社杯5,3,3944,6.98,3,山口裕二,41,長崎,53,A1,6.35,40.31,7.51,61.66,8.33,4.76
27,長崎新聞社杯5,4,3662,7.02,4,大庭元明,50,福岡,55,A1,6.2,48.82,5.67,44.9,42.11,38.24
28,長崎新聞社杯5,5,3349,7.03,6,吉田一郎,52,長崎,51,A2,6.37,52.0,6.94,55.3,33.33,37.5
29,長崎新聞社杯5,6,3936,7.04,5,三瀬　譲,42,長崎,56,B1,4.36,22.73,4.95,29.6,29.17,17.39
30,長崎新聞社杯6,1,4523,6.91,1,中村辰也,32,長崎,51,A2,5.4,39.51,6.05,41.26,31.03,52.94
31,長崎新聞社杯6,2,4497,6.97,6,桑原　悠,33,長崎,50,A1,6.54,41.07,7.41,60.81,4.0,21.43
32,長崎新聞社杯6,3,3151,7.01,5,落合敬一,56,長崎,56,B1,3.7,10.0,5.16,33.33,44.44,44.83
33,長崎新聞社杯6,4,4248,7.04,3,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
34,長崎新聞社杯6,5,4614,6.97,2,石倉洋行,40,福岡,53,A1,6.27,45.0,6.9,56.67,20.0,42.42
