レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-12大　村長崎新聞社杯1R,1,4004,6.95,晴,南西,1,1,大　村,1,山本浩輔,42,長崎,52,B1,4.09,23.08,5.54,38.41,25.0,48.48
2020-08-12大　村長崎新聞社杯1R,2,4241,6.98,晴,南西,1,1,大　村,2,大串重幸,35,長崎,52,B1,4.85,32.95,5.53,38.57,22.22,26.47
2020-08-12大　村長崎新聞社杯1R,3,4603,6.98,晴,南西,1,1,大　村,3,谷川将太,32,長崎,53,B1,4.56,27.42,4.94,28.46,40.74,47.62
2020-08-12大　村長崎新聞社杯1R,4,4213,7.01,晴,南西,1,1,大　村,4,重富伸也,36,長崎,54,B1,4.37,25.0,5.04,30.85,35.71,25.0
2020-08-12大　村長崎新聞社杯1R,5,4248,7.09,晴,南西,1,1,大　村,5,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
2020-08-12大　村長崎新聞社杯1R,6,4919,7.02,晴,南西,1,1,大　村,6,吉田翔悟,29,長崎,52,B1,4.42,26.51,3.86,15.32,12.0,41.18
2020-08-12大　村長崎新聞社杯2R,1,3906,6.94,晴,南,1,1,大　村,1,飯山晃三,42,長崎,59,B1,4.82,27.03,5.6,38.96,38.46,10.53
2020-08-12大　村長崎新聞社杯2R,2,3752,6.97,晴,南,1,1,大　村,5,宇土泰就,49,福岡,54,B1,4.49,25.0,4.55,29.55,31.25,62.07
2020-08-12大　村長崎新聞社杯2R,3,5048,6.97,晴,南,1,1,大　村,6,眞鳥康太,26,長崎,55,B1,2.62,7.87,2.73,3.92,23.08,43.48
2020-08-12大　村長崎新聞社杯2R,4,3151,7.0,晴,南,1,1,大　村,3,落合敬一,56,長崎,56,B1,3.7,10.0,5.16,33.33,44.44,44.83
2020-08-12大　村長崎新聞社杯2R,5,3936,7.03,晴,南,1,1,大　村,2,三瀬　譲,42,長崎,56,B1,4.36,22.73,4.95,29.6,29.17,17.39
2020-08-12大　村長崎新聞社杯2R,6,4747,7.01,晴,南,1,1,大　村,4,山戸信二,35,長崎,51,B1,3.65,14.12,4.35,21.26,12.5,25.0
2020-08-12大　村長崎新聞社杯3R,1,4498,6.92,晴,南,1,1,大　村,2,宮本夏樹,33,長崎,54,A2,5.53,30.67,5.96,41.51,22.73,19.23
2020-08-12大　村長崎新聞社杯3R,2,4315,6.95,晴,南,1,1,大　村,1,山崎昂介,36,長崎,54,B1,4.39,25.29,4.73,23.36,28.57,42.11
2020-08-12大　村長崎新聞社杯3R,3,4614,6.96,晴,南,1,1,大　村,6,石倉洋行,40,福岡,53,A1,6.27,45.0,6.9,56.67,20.0,42.42
2020-08-12大　村長崎新聞社杯3R,4,4164,7.0,晴,南,1,1,大　村,3,岩永節也,38,長崎,52,B1,4.13,19.28,4.56,20.97,28.57,15.38
2020-08-12大　村長崎新聞社杯3R,5,4299,7.03,晴,南,1,1,大　村,5,中島浩哉,37,長崎,58,B1,4.53,24.21,5.24,35.09,20.83,33.33
2020-08-12大　村長崎新聞社杯3R,6,3491,7.01,晴,南,1,1,大　村,4,富永　茂,52,福岡,51,B1,4.09,15.31,3.93,15.22,5.56,56.25
2020-08-12大　村長崎新聞社杯4R,1,3843,6.95,晴,南,1,1,大　村,1,上之晃弘,44,長崎,52,B1,4.1,23.46,5.95,42.76,0.0,38.71
2020-08-12大　村長崎新聞社杯4R,2,3777,6.93,晴,南,1,1,大　村,3,樋口　亮,45,長崎,51,B1,5.64,40.0,6.27,47.48,33.33,25.93
2020-08-12大　村長崎新聞社杯4R,3,4948,6.98,晴,南,1,1,大　村,2,木場悠介,27,長崎,52,B1,4.73,30.91,4.23,18.03,59.26,41.18
2020-08-12大　村長崎新聞社杯4R,4,5071,7.01,晴,南,1,1,大　村,6,野見山拓,26,福岡,51,B2,2.02,5.88,1.61,0.0,40.0,20.69
2020-08-12大　村長崎新聞社杯4R,5,4424,6.93,晴,南,1,1,大　村,5,松尾昂明,35,福岡,50,A2,6.21,48.09,6.8,46.67,22.73,14.29
2020-08-12大　村長崎新聞社杯4R,6,5009,7.01,晴,南,1,1,大　村,4,大賀龍之,23,福岡,56,B1,3.77,14.89,1.4,0.0,9.52,13.64
2020-08-12大　村長崎新聞社杯5R,1,4603,6.99,晴,南西,2,1,大　村,2,谷川将太,32,長崎,53,B1,4.56,27.42,4.94,28.46,40.74,47.62
2020-08-12大　村長崎新聞社杯5R,2,4259,7.04,晴,南西,2,1,大　村,1,真庭明志,36,長崎,52,A2,5.83,41.98,5.92,42.04,22.22,39.13
2020-08-12大　村長崎新聞社杯5R,3,4551,7.04,晴,南西,2,1,大　村,6,三川昂暁,31,福岡,55,A1,5.83,40.16,5.81,42.31,27.27,25.0
