レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-05下　関ＢＴＳながとオープン記念1R,1,4151,6.93,晴,北東,4,4,1,下河誉史,38,福岡,56,A2,5.28,34.23,6.21,39.29,30.1,38.53
2020-09-05下　関ＢＴＳながとオープン記念1R,2,3976,6.96,晴,北東,4,4,2,内田　圭,43,山口,54,B2,3.63,16.33,3.43,16.67,40.17,25.25
2020-09-05下　関ＢＴＳながとオープン記念1R,3,3507,6.96,晴,北東,4,4,3,藤井　徹,49,大阪,51,B1,4.19,16.22,4.28,22.22,41.9,34.55
2020-09-05下　関ＢＴＳながとオープン記念1R,4,4817,6.91,晴,北東,4,4,4,渡邉　翼,29,山口,50,B1,5.27,27.78,5.62,36.91,25.0,35.14
2020-09-05下　関ＢＴＳながとオープン記念1R,5,4081,6.94,晴,北東,4,4,6,樋口範政,41,愛知,56,B1,4.26,22.62,3.89,22.22,41.13,37.61
2020-09-05下　関ＢＴＳながとオープン記念1R,6,3153,6.94,晴,北東,4,4,5,前川竜次,56,佐賀,51,B1,4.49,19.59,4.25,22.22,22.77,39.81
2020-09-05下　関ＢＴＳながとオープン記念2R,1,3081,6.99,晴,北,4,4,1,岡本慎治,57,山口,51,B1,5.58,34.12,6.09,44.64,27.27,24.27
2020-09-05下　関ＢＴＳながとオープン記念2R,2,3559,6.92,晴,北,4,4,5,水長照雄,52,山口,52,B1,4.09,17.57,5.03,26.32,27.93,28.44
2020-09-05下　関ＢＴＳながとオープン記念2R,3,4729,6.95,晴,北,4,4,3,佐藤謙史,31,福岡,57,B1,3.77,13.51,3.35,11.54,34.91,31.43
2020-09-05下　関ＢＴＳながとオープン記念2R,4,3105,6.99,晴,北,4,4,4,内山文典,57,東京,54,B1,5.2,28.07,0.0,0.0,25.89,20.59
2020-09-05下　関ＢＴＳながとオープン記念2R,5,4180,6.99,晴,北,4,4,2,上野秀和,37,福岡,57,B1,4.0,17.76,4.91,21.74,29.75,44.44
2020-09-05下　関ＢＴＳながとオープン記念3R,1,4049,7.0,曇り ,北,5,5,4,荒川健太,39,三重,56,A2,6.46,46.08,5.54,28.57,36.79,27.84
2020-09-05下　関ＢＴＳながとオープン記念3R,2,3831,7.06,曇り ,北,5,5,5,安藤裕貴,46,愛知,53,A2,5.15,34.48,4.3,21.21,47.06,35.19
2020-09-05下　関ＢＴＳながとオープン記念3R,3,3123,7.08,曇り ,北,5,5,1,中西宏文,58,滋賀,50,B1,4.54,23.17,4.68,23.53,46.79,38.53
2020-09-05下　関ＢＴＳながとオープン記念3R,4,3072,7.05,曇り ,北,5,5,3,西田　靖,58,東京,53,B1,4.53,26.58,4.13,25.0,29.25,31.48
2020-09-05下　関ＢＴＳながとオープン記念3R,5,5053,7.03,曇り ,北,5,5,6,山口広樹,24,福岡,53,B2,2.18,2.94,1.4,0.0,32.08,24.24
